timestamp,ECG_CH1
1763969119.9715967,-382310
1763969119.9747117,-383149
1763969119.987631,-382232
1763969119.9886076,-383379
1763969119.9914951,-382598
1763969120.0111887,-383319
1763969120.0127506,-383197
1763969120.019604,-383450
1763969120.0214322,-385536
1763969120.0417397,-376586
1763969120.0466928,-366288
1763969120.0479574,-347493
1763969120.0717485,-335336
1763969120.0750654,-345509
1763969120.1004493,-361486
1763969120.1018977,-383667
1763969120.1029284,-386877
1763969120.10444,-383997
1763969120.10444,-383269
1763969120.1113605,-381869
1763969120.1159942,-380732
1763969120.1321046,-381612
1763969120.133004,-380511
1763969120.141703,-381332
1763969120.1468148,-381098
1763969120.1686163,-379724
1763969120.1700199,-380463
1763969120.1715295,-378943
1763969120.1845303,-379150
1763969120.1865134,-378919
1763969120.2005355,-377662
1763969120.2018456,-377994
1763969120.2313,-376203
1763969120.232065,-376359
1763969120.2331982,-375411
1763969120.235746,-374046
1763969120.2400203,-374319
1763969120.2539704,-373936
1763969120.2571733,-372211
1763969120.2712874,-372709
1763969120.27249,-371440
1763969120.2869034,-372286
1763969120.2869034,-372151
1763969120.3133295,-371757
1763969120.3154953,-374369
1763969120.3165214,-374541
1763969120.3213665,-376787
1763969120.3285413,-378933
1763969120.3412492,-379267
1763969120.3425894,-381315
1763969120.354638,-381204
1763969120.354638,-382609
1763969120.3830693,-383175
1763969120.4040043,-382144
1763969120.409721,-383627
1763969120.4324954,-381931
1763969120.4324954,-382085
1763969120.4324954,-383230
1763969120.4324954,-381889
1763969120.4533863,-382861
1763969120.469813,-382378
1763969120.471524,-381138
1763969120.471524,-381809
1763969120.4731205,-380981
1763969120.4843748,-382142
1763969120.485397,-381921
1763969120.485397,-381135
1763969120.485397,-382552
1763969120.485397,-381677
1763969120.5142064,-382731
1763969120.5161507,-382577
1763969120.5202458,-381997
1763969120.5220208,-383522
1763969120.5416634,-382057
1763969120.545007,-383384
1763969120.5463235,-383531
1763969120.5512266,-383016
1763969120.56119,-383546
1763969120.5736487,-383444
1763969120.5780861,-382794
1763969120.602947,-384234
1763969120.602947,-383146
1763969120.602947,-383401
1763969120.602947,-382527
1763969120.6143255,-380439
1763969120.632682,-381206
1763969120.633803,-378556
1763969120.6418557,-381196
1763969120.646697,-383339
1763969120.6699083,-383422
1763969120.6714067,-385064
1763969120.6721394,-383691
1763969120.6855195,-385507
1763969120.6877837,-385384
1763969120.6998603,-384669
1763969120.7013779,-385756
1763969120.71575,-384608
1763969120.7178571,-387666
1763969120.7366626,-387499
1763969120.7413282,-378679
1763969120.742355,-368561
1763969120.7538207,-349903
1763969120.7538207,-337636
1763969120.7828581,-346874
1763969120.7843783,-377792
1763969120.7853985,-388601
1763969120.7873933,-387307
1763969120.8141701,-385136
1763969120.853166,-384109
1763969120.853166,-382360
1763969120.853166,-383729
1763969120.853166,-383445
1763969120.8595655,-382503
1763969120.8606405,-383188
1763969120.8621354,-381231
1763969120.8651505,-382152
1763969120.8677385,-381882
1763969120.881085,-380749
1763969120.882624,-381021
1763969120.8917632,-380732
1763969120.897818,-379384
1763969120.9019203,-379824
1763969120.9129126,-378186
1763969120.9366012,-378303
1763969120.9377732,-377412
1763969120.9388173,-375927
1763969120.9501412,-375967
1763969120.9516523,-373545
1763969120.96571,-374350
1763969120.9678197,-374104
1763969120.980559,-372966
1763969120.9819217,-373601
1763969120.9914865,-372925
1763969121.0032887,-374671
1763969121.0060737,-376122
1763969121.0365613,-376913
1763969121.0417073,-380042
1763969121.0479383,-380517
1763969121.0499475,-382664
1763969121.065063,-383337
1763969121.0659077,-382419
1763969121.0680058,-384032
1763969121.074385,-384456
1763969121.0793767,-383544
1763969121.0917494,-384597
1763969121.0959513,-383906
1763969121.1238492,-384716
1763969121.1261306,-384382
1763969121.1281285,-383408
1763969121.13068,-383710
1763969121.1321673,-382812
1763969121.1535294,-383847
1763969121.1568637,-383324
1763969121.1914876,-382326
1763969121.1948724,-383464
1763969121.1962924,-382364
1763969121.2489252,-383101
1763969121.2499242,-382873
1763969121.251438,-382577
1763969121.2524517,-383463
1763969121.2544544,-383059
1763969121.255467,-382110
1763969121.2564673,-383462
1763969121.257468,-382678
1763969121.2584684,-383764
1763969121.2594674,-383729
1763969121.2614799,-383244
1763969121.2757723,-384004
1763969121.2767668,-383185
1763969121.2846744,-384232
1763969121.2936213,-384251
1763969121.297099,-383385
1763969121.3117125,-384175
1763969121.3134136,-383674
1763969121.3356187,-383316
1763969121.3390918,-381099
1763969121.3390918,-380967
1763969121.3401108,-380912
1763969121.3589683,-379571
1763969121.3600042,-383033
1763969121.3653355,-384817
1763969121.3821542,-384092
1763969121.3827136,-385546
1763969121.395045,-385644
1763969121.3966477,-385007
1763969121.4016726,-385844
1763969121.4016726,-384931
1763969121.421605,-386053
1763969121.4316695,-386327
1763969121.4397628,-387230
1763969121.452315,-382546
1763969121.452315,-371294
1763969121.471517,-354446
1763969121.4732833,-337686
1763969121.481773,-341608
1763969121.4828434,-371685
1763969121.4873636,-387293
1763969121.5148804,-387845
1763969121.5158846,-386131
1763969121.5339549,-383574
1763969121.541333,-383710
1763969121.5423474,-382732
1763969121.5433476,-382690
1763969121.5784755,-382881
1763969121.5784755,-381488
1763969121.5812893,-382550
1763969121.5812893,-382214
1763969121.5845845,-381112
1763969121.5918262,-381304
1763969121.5966475,-379894
1763969121.6072896,-380553
1763969121.608459,-379776
1763969121.6157,-378684
1763969121.6305246,-378681
1763969121.6316602,-376646
1763969121.6519754,-377067
1763969121.6571748,-376034
1763969121.6594653,-374348
1763969121.6604393,-374788
1763969121.6916535,-372963
1763969121.6948907,-373788
1763969121.6964297,-373568
1763969121.6999762,-372773
1763969121.70223,-373524
1763969121.7118695,-373633
1763969121.7200797,-373559
1763969121.7313628,-375976
1763969121.7337832,-376500
1763969121.734822,-378723
1763969121.7547972,-380187
1763969121.7547972,-380714
1763969121.7714496,-382314
1763969121.7729695,-381222
1763969121.7843943,-382331
1763969121.7884417,-382484
1763969121.8100646,-381921
1763969121.8113,-382647
1763969121.8132813,-381331
1763969121.8215053,-382245
1763969121.8272443,-382167
1763969121.8415868,-380959
1763969121.8439856,-381441
1763969121.8513153,-380001
1763969121.8558867,-380552
1763969121.8672361,-380864
1763969121.891433,-379368
1763969121.8951104,-380228
1763969121.9504983,-380592
1763969121.9515443,-379949
1763969121.9515443,-380892
1763969121.9515443,-379724
1763969121.96136,-380747
